Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2014-03-04,"Bicycling, 10-12 mph, light (cycling, biking, bike riding)",Cardio,200.0,20,,,,,
2014-03-07,"Bicycling, 10-12 mph, light (cycling, biking, bike riding)",Cardio,200.0,20,,,,,
2014-03-11,"Bicycling, 10-12 mph, light (cycling, biking, bike riding)",Cardio,350.0,30,,,,,
2014-03-12,"Bicycling, 10-12 mph, light (cycling, biking, bike riding)",Cardio,250.0,23,,,,,
2015-05-24,"Bench (Chest) Press, Machine",Strength,,,3,10,130.0,,
2015-05-24,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,175.0,16,,,,,
2015-05-24,Incline Bench Press,Strength,,,3,10,110.0,,
2015-05-24,"Running (jogging), 7 mph (8.5 min mile)",Cardio,100.0,6,,,,,
2015-05-25,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,167.0,16,,,,,
2015-05-25,"Running (jogging), 7 mph (8.5 min mile)",Cardio,100.0,6,,,,,
2016-02-03,MFP iOS calorie adjustment,Cardio,151.0,1,,,,,
2016-02-04,Biceps Curl,Strength,,,3,10,40.0,,
2016-02-04,MFP iOS calorie adjustment,Cardio,153.0,1,,,,,
2016-02-04,"Running (jogging), 7 mph (8.5 min mile)",Cardio,94.0,5,,,,,
2016-02-05,MFP iOS calorie adjustment,Cardio,203.0,1,,,,,
2016-02-06,MFP iOS calorie adjustment,Cardio,136.0,1,,,,,
2016-02-07,MFP iOS calorie adjustment,Cardio,15.0,1,,,,,
2016-02-08,MFP iOS calorie adjustment,Cardio,233.0,1,,,,,
2016-02-09,MFP iOS calorie adjustment,Cardio,164.0,1,,,,,
2016-02-10,MFP iOS calorie adjustment,Cardio,276.0,1,,,,,
2016-02-11,MFP iOS calorie adjustment,Cardio,341.0,1,,,,,
2016-02-12,MFP iOS calorie adjustment,Cardio,299.0,1,,,,,
2016-02-13,MFP iOS calorie adjustment,Cardio,226.0,1,,,,,
2016-02-14,MFP iOS calorie adjustment,Cardio,367.0,1,,,,,
