Date,Fitbit steps,Fitbit tracked sleep minutes,Weight
2014-03-04,,,237.0
2014-03-06,,,232.0
2014-03-09,,,234.0
2014-03-10,,,233.0
2014-03-11,,,231.0
2014-03-12,,,231.0
2014-03-14,,,233.5
2014-08-28,,,222.0
2014-09-04,,,218.0
2015-05-24,,,213.0
2015-08-20,,,216.0
2015-11-13,,,216.0
2015-12-16,,,222.0
2016-02-03,,,217.5
2016-02-11,,,216.8
2016-02-12,,,216.2
2016-02-16,,,220.0
2016-02-17,,,217.0
2016-02-18,,,216.5
2016-02-23,,,218.6
2016-02-24,,,218.4
2016-02-25,,,217.8
2016-02-26,,,216.8
2016-02-29,,,220.0
2016-03-02,,,218.6
2016-03-03,,,218.2
2016-03-04,,,218.0
2016-03-05,,,217.0
2016-03-17,,,218.0
2016-03-22,,,217.2
2016-03-23,,,216.6
2016-03-29,,,222.4
2016-03-30,,,219.4
2016-03-31,,,216.8
2016-04-04,,,217.2
2016-04-20,,,218.8
2016-04-25,,,223.8
2016-04-28,,,219.2
2016-05-10,,,219.0
2016-05-11,,,218.6
2016-05-12,,,218.2
2016-05-13,,,217.8
2016-05-14,,,214.0
2016-05-16,,,220.0
2016-05-17,,,217.8
2016-05-19,,,215.6
2016-05-20,,,215.4
2016-05-21,,,212.4
2016-05-22,,,212.6
2016-05-23,,,215.2
2016-05-24,,,215.4
2016-05-25,,,215.0
2016-05-26,,,211.8
2016-05-27,,,211.2
2016-05-31,,,209.0
2016-06-01,,,210.4
2016-06-02,,,210.8
2016-06-03,,,209.8
2016-06-05,,,208.2
2016-06-06,,,208.4
2016-06-07,,,206.4
2016-06-08,,,206.0
2016-06-10,,,206.0
2016-06-12,,,204.4
2016-06-13,,,204.6
2016-06-14,,,205.4
2016-06-15,,,205.6
2016-06-16,,,205.2
2016-06-17,,,204.2
2016-06-18,,,203.0
2016-06-19,,,202.4
2016-06-20,,,203.8
2016-06-21,,,202.8
2016-06-22,,,203.0
2016-06-23,,,202.2
2016-06-24,,,203.4
2016-06-25,,,202.0
2016-06-26,,,200.8
2016-06-27,,,203.0
2016-06-28,,,202.2
2016-06-29,,,200.4
2016-06-30,,,198.6
2016-07-01,,,197.2
2016-07-05,,,203.0
2016-07-06,,,200.6
2016-07-07,,,198.2
2016-07-08,,,197.8
2016-07-09,,,196.8
2016-07-10,,,197.6
2016-07-11,,,197.8
2016-07-12,,,197.4
2016-07-13,,,195.4
2016-07-15,,,194.6
2016-07-18,,,199.0
2016-07-20,,,196.6
2016-07-21,,,195.0
2016-07-22,,,193.0
2016-07-23,,,194.0
2016-07-25,,,195.8
2016-07-26,,,196.4
2016-07-27,,,195.0
2016-07-28,,,194.8
2016-07-31,,,193.0
2016-08-01,,,194.2
2016-08-02,,,193.4
2016-08-03,,,192.8
2016-08-04,,,192.6
2016-08-05,,,192.0
2016-08-09,,,192.4
2016-08-10,,,191.0
2016-08-12,,,193.8
2016-08-13,,,191.0
