Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2014-03-04,Breakfast,603.8,36.1,11.7,3.9,8.7,0.0,764.2,602.4,252.5,4.0,0.0,3.2,39.4,19.3,0.6,14.3,37.2,
2014-03-04,Lunch,540.0,24.0,6.0,0.0,0.0,0.0,0.0,185.0,0.0,37.0,3.0,25.0,10.0,0.0,0.0,4.0,8.0,
2014-03-04,Dinner,895.7,7.7,5.2,0.3,0.3,0.0,0.0,2086.2,41.9,98.2,1.8,0.3,34.0,0.0,0.0,1.0,2.3,
2014-03-05,Breakfast,603.8,36.1,11.7,3.9,8.7,0.0,764.2,602.4,252.5,4.0,0.0,3.2,39.4,19.3,0.6,14.3,37.2,
2014-03-05,Lunch,540.0,24.0,6.0,0.0,0.0,0.0,0.0,185.0,0.0,37.0,3.0,25.0,10.0,0.0,0.0,4.0,8.0,
2014-03-05,Dinner,542.8,16.7,6.0,0.1,0.0,0.0,144.0,123.3,246.2,7.3,2.1,3.8,24.5,14.5,9.9,4.8,33.6,
2014-03-05,Snacks,110.0,2.5,1.5,0.0,1.0,0.0,0.0,130.0,115.0,21.0,2.0,14.0,1.0,0.0,0.0,30.0,6.0,
2014-03-06,Breakfast,525.0,38.8,13.5,5.2,11.6,0.0,888.9,1208.2,336.7,5.4,0.0,4.2,36.1,25.7,0.8,17.3,16.3,
2014-03-06,Lunch,175.0,5.0,1.3,0.0,0.0,0.0,37.5,2250.0,0.0,22.5,2.5,0.0,7.5,5.0,0.0,0.0,5.0,
2014-03-06,Dinner,320.0,3.1,0.5,0.0,0.0,0.0,65.0,1876.0,556.0,36.0,3.5,34.7,35.2,25.0,135.0,7.0,25.0,
2014-03-06,Snacks,810.0,33.0,15.0,1.0,1.0,0.0,70.0,755.0,230.0,115.0,7.0,74.0,21.0,42.0,20.0,74.0,56.0,
2014-03-07,Lunch,514.8,18.2,9.8,0.3,2.9,0.0,125.2,1449.1,482.8,1.0,1.2,2.3,41.4,110.0,13.8,42.7,19.0,
2014-03-07,Dinner,560.0,42.0,16.0,0.0,0.0,3.0,160.0,680.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,8.0,20.0,
2014-03-08,Breakfast,855.0,26.0,2.1,2.1,2.0,0.0,1350.0,501.0,422.0,92.0,6.1,23.0,31.3,1.0,17.0,0.0,1.0,
2014-03-09,Breakfast,405.0,16.5,2.3,0.0,0.0,0.1,70.0,590.0,284.0,32.0,1.0,5.5,33.0,11.0,9.0,7.5,14.0,
2014-03-09,Lunch,360.0,12.0,7.0,0.0,1.0,0.0,30.0,640.0,0.0,42.8,2.0,6.0,15.5,6.0,0.0,26.5,8.0,
2014-03-09,Dinner,350.4,4.3,0.7,0.2,0.1,0.0,81.3,102.4,774.1,42.8,4.1,9.0,36.9,6.1,140.1,4.3,10.5,
2014-03-10,Breakfast,105.0,1.0,0.1,0.1,0.0,0.0,0.0,1.0,422.0,27.0,3.1,14.0,1.3,1.0,17.0,0.0,1.0,
